Variable,Model,RMSE,R2
CO(GT),SARIMA,1.025327381683241,0.4128839414052562
CO(GT),Prophet,3.5764051034585966,-6.143190955985433
PT08.S1(CO),SARIMA,168.34137342412723,0.2868306425193772
PT08.S1(CO),Prophet,445.7971940502077,-4.001331064821809
NMHC(GT),SARIMA,1.5709765024401843e-09,0.0
NMHC(GT),Prophet,356.9862687626529,0.0
C6H6(GT),SARIMA,5.192388534454831,0.34887001608956314
C6H6(GT),Prophet,5.881541153122485,0.16455933560680702
PT08.S2(NMHC),SARIMA,189.63795802040482,0.420803889947168
PT08.S2(NMHC),Prophet,273.66154483010513,-0.20615367478871183
NOx(GT),SARIMA,141.13504459595242,0.39471024584184833
NOx(GT),Prophet,313.866299770045,-1.993525540447767
PT08.S3(NOx),SARIMA,186.7718291622,0.3210525659220067
PT08.S3(NOx),Prophet,269.8900413801282,-0.4177090997997932
