,SARIMA_RMSE,SARIMA_R2,Prophet_RMSE,Prophet_R2
CO(GT),1.025327381683241,0.4128839414052562,3.5764051034585966,-6.143190955985433
PT08.S1(CO),168.34137342412723,0.2868306425193772,445.7971940502077,-4.001331064821809
NMHC(GT),1.5709765024401843e-09,0.0,356.9862687626529,0.0
C6H6(GT),5.192388534454831,0.34887001608956314,5.881541153122485,0.16455933560680702
PT08.S2(NMHC),189.63795802040482,0.420803889947168,273.66154483010513,-0.20615367478871183
NOx(GT),141.13504459595242,0.39471024584184833,313.866299770045,-1.993525540447767
PT08.S3(NOx),186.7718291622,0.3210525659220067,269.8900413801282,-0.4177090997997932
NO2(GT),,,34.46210727396715,0.4424072209148495
PT08.S4(NO2),,,279.13634650473375,0.0014601551154634906
PT08.S5(O3),,,962.3264638283641,-4.238456097388319
T,,,0.03804013101242416,0.9999663189352606
RH,,,0.36631254577636335,0.9995299248403606
AH,,,0.002731501298681093,0.9999059263434895
