,SARIMA,Prophet
CO(GT),1.025327381683241,3.5764051034585966
PT08.S1(CO),168.34137342412723,445.7971940502077
NMHC(GT),1.5709765024401843e-09,356.9862687626529
C6H6(GT),5.192388534454831,5.881541153122485
PT08.S2(NMHC),189.63795802040482,273.66154483010513
NOx(GT),141.13504459595242,313.866299770045
PT08.S3(NOx),186.7718291622,269.8900413801282
NO2(GT),,34.46210727396715
PT08.S4(NO2),,279.13634650473375
PT08.S5(O3),,962.3264638283641
T,,0.03804013101242416
RH,,0.36631254577636335
AH,,0.002731501298681093
